"Multidimensional poverty index (MPI)"
"Dimension: Poverty"
"Definition: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http:// hdr.undp.org/sites/default/files/hdr2021_technical_ notes.pdf for details on how the Multidimensional Poverty Index is calculated."
"Source: HDRO and OPHI calculations based on data on household deprivations in health, education, and standard of living from various surveys listed in column 1 using the methodology described in Technical note 5 (http://hdr.undp.org/sites/default/files/mpi2021_technical_notes.pdf)."
""
"HDI Rank","Country","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2020","","2009-2020",""
"125"," Tajikistan","..","","..","","..","","..","","..","","..","","..","","..","","0.029","","..","","..","","..","","0.029","a"
"163"," Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","0.284","","..","","..","","..","","..","","0.284","a"
"79"," Thailand","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","","..","","0.002","a,d"
"141"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","0.222","","..","","..","","..","","..","","0.222","a"
"167"," Togo","..","","..","","..","","..","","..","","..","","..","","..","","0.180","","..","","..","","..","","0.180","a"
"104"," Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","0.003","a"
"67"," Trinidad and Tobago","..","","..","","0.002","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.002","a,d"
"95"," Tunisia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.003","","..","","..","","0.003","a"
"111"," Turkmenistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","","..","","0.001","a,i"
"159"," Uganda","..","","..","","..","","..","","..","","..","","..","","0.281","","..","","..","","..","","..","","0.281","a"
"74"," Ukraine","..","","..","","..","","0.001","","..","","..","","..","","..","","..","","..","","..","","..","","0.001","a,b"
"117"," Viet Nam","..","","..","","..","","..","","..","","0.019","","..","","..","","..","","..","","..","","..","","0.019","a,b"
"179"," Yemen","..","","..","","..","","..","","0.245","","..","","..","","..","","..","","..","","..","","..","","0.245","a"
"146"," Zambia","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.232","","..","","..","","0.232","a"
"150"," Zimbabwe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.110","","..","","0.110","a"
"36"," Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"46"," Argentina","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8"," Australia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18"," Austria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"88"," Azerbaijan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"14"," Belgium","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"56"," Bulgaria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"58"," Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"53"," Belarus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"16"," Canada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2"," Switzerland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43"," Chile","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126"," Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"33"," Cyprus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"27"," Czechia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"6"," Germany","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"166"," Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"10"," Denmark","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"25"," Spain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"29"," Estonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Finland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"93"," Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26"," France","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"136"," Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"13"," United Kingdom","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"145"," Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"32"," Greece","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4"," Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43"," Croatia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Hungary","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2"," Ireland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70"," Iran (Islamic Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4"," Iceland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Israel","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"29"," Italy","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"23"," Korea (Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"64"," Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"92"," Lebanon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"34"," Lithuania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"23"," Luxembourg","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"37"," Latvia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"28"," Malta","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"66"," Mauritius","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62"," Malaysia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8"," Netherlands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1"," Norway","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"14"," New Zealand","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60"," Oman","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57"," Panama","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"35"," Poland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"38"," Portugal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45"," Qatar","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"49"," Romania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52"," Russian Federation","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40"," Saudi Arabia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"151"," Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"39"," Slovakia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22"," Slovenia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"7"," Sweden","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"54"," Turkey","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55"," Uruguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"17"," United States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"106"," Uzbekistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"140"," Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.105",""
"","Regions","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.071",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.023",""
" ","Europe and Central Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.004",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.030",""
" ","South Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.131",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.286",""
"a: Not all indicators were available for all countries, so caution should be used in cross-country comparisons. When an indicator is missing, weights of available indicators are adjusted to total 100 percent. See Technical note 5 at http://hdr.undp.org/sites/default/files/hdr2021_technical_notes.pdf for details."
"b: Missing indicator on nutrition."
"c: Missing indicator on child mortality."
"d: Considers child deaths that occurred at any time because the survey did not collect the date of child deaths."
"e: Indicator on child mortality captures only deaths of children under age 5 who died in the last five years and deaths of children ages 12–18 years who died in the last two years."
